Web Search interest: animal+testing
Worldwide 2004 - present

Interest over time
Week,animal+testing
2004-01-04 - 2004-01-10,91
2004-01-11 - 2004-01-17,95
2004-01-18 - 2004-01-24,96
2004-01-25 - 2004-01-31,96
2004-02-01 - 2004-02-07,98
2004-02-08 - 2004-02-14,94
2004-02-15 - 2004-02-21,92
2004-02-22 - 2004-02-28,96
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,95
2004-03-14 - 2004-03-20,96
2004-03-21 - 2004-03-27,95
2004-03-28 - 2004-04-03,96
2004-04-04 - 2004-04-10,93
2004-04-11 - 2004-04-17,96
2004-04-18 - 2004-04-24,97
2004-04-25 - 2004-05-01,98
2004-05-02 - 2004-05-08,96
2004-05-09 - 2004-05-15,92
2004-05-16 - 2004-05-22,96
2004-05-23 - 2004-05-29,89
2004-05-30 - 2004-06-05,85
2004-06-06 - 2004-06-12,85
2004-06-13 - 2004-06-19,85
2004-06-20 - 2004-06-26,86
2004-06-27 - 2004-07-03,82
2004-07-04 - 2004-07-10,81
2004-07-11 - 2004-07-17,84
2004-07-18 - 2004-07-24,86
2004-07-25 - 2004-07-31,85
2004-08-01 - 2004-08-07,85
2004-08-08 - 2004-08-14,84
2004-08-15 - 2004-08-21,85
2004-08-22 - 2004-08-28,85
2004-08-29 - 2004-09-04,82
2004-09-05 - 2004-09-11,84
2004-09-12 - 2004-09-18,87
2004-09-19 - 2004-09-25,89
2004-09-26 - 2004-10-02,92
2004-10-03 - 2004-10-09,91
2004-10-10 - 2004-10-16,90
2004-10-17 - 2004-10-23,91
2004-10-24 - 2004-10-30,88
2004-10-31 - 2004-11-06,89
2004-11-07 - 2004-11-13,88
2004-11-14 - 2004-11-20,92
2004-11-21 - 2004-11-27,84
2004-11-28 - 2004-12-04,91
2004-12-05 - 2004-12-11,90
2004-12-12 - 2004-12-18,84
2004-12-19 - 2004-12-25,74
2004-12-26 - 2005-01-01,73
2005-01-02 - 2005-01-08,86
2005-01-09 - 2005-01-15,87
2005-01-16 - 2005-01-22,87
2005-01-23 - 2005-01-29,87
2005-01-30 - 2005-02-05,90
2005-02-06 - 2005-02-12,90
2005-02-13 - 2005-02-19,91
2005-02-20 - 2005-02-26,90
2005-02-27 - 2005-03-05,90
2005-03-06 - 2005-03-12,93
2005-03-13 - 2005-03-19,89
2005-03-20 - 2005-03-26,89
2005-03-27 - 2005-04-02,86
2005-04-03 - 2005-04-09,85
2005-04-10 - 2005-04-16,90
2005-04-17 - 2005-04-23,90
2005-04-24 - 2005-04-30,93
2005-05-01 - 2005-05-07,93
2005-05-08 - 2005-05-14,87
2005-05-15 - 2005-05-21,88
2005-05-22 - 2005-05-28,88
2005-05-29 - 2005-06-04,82
2005-06-05 - 2005-06-11,82
2005-06-12 - 2005-06-18,81
2005-06-19 - 2005-06-25,81
2005-06-26 - 2005-07-02,79
2005-07-03 - 2005-07-09,76
2005-07-10 - 2005-07-16,80
2005-07-17 - 2005-07-23,81
2005-07-24 - 2005-07-30,79
2005-07-31 - 2005-08-06,79
2005-08-07 - 2005-08-13,80
2005-08-14 - 2005-08-20,82
2005-08-21 - 2005-08-27,82
2005-08-28 - 2005-09-03,80
2005-09-04 - 2005-09-10,84
2005-09-11 - 2005-09-17,86
2005-09-18 - 2005-09-24,87
2005-09-25 - 2005-10-01,89
2005-10-02 - 2005-10-08,86
2005-10-09 - 2005-10-15,84
2005-10-16 - 2005-10-22,87
2005-10-23 - 2005-10-29,83
2005-10-30 - 2005-11-05,83
2005-11-06 - 2005-11-12,85
2005-11-13 - 2005-11-19,84
2005-11-20 - 2005-11-26,78
2005-11-27 - 2005-12-03,84
2005-12-04 - 2005-12-10,86
2005-12-11 - 2005-12-17,82
2005-12-18 - 2005-12-24,75
2005-12-25 - 2005-12-31,74
2006-01-01 - 2006-01-07,79
2006-01-08 - 2006-01-14,82
2006-01-15 - 2006-01-21,83
2006-01-22 - 2006-01-28,84
2006-01-29 - 2006-02-04,87
2006-02-05 - 2006-02-11,84
2006-02-12 - 2006-02-18,83
2006-02-19 - 2006-02-25,85
2006-02-26 - 2006-03-04,85
2006-03-05 - 2006-03-11,85
2006-03-12 - 2006-03-18,83
2006-03-19 - 2006-03-25,85
2006-03-26 - 2006-04-01,83
2006-04-02 - 2006-04-08,86
2006-04-09 - 2006-04-15,84
2006-04-16 - 2006-04-22,85
2006-04-23 - 2006-04-29,88
2006-04-30 - 2006-05-06,89
2006-05-07 - 2006-05-13,86
2006-05-14 - 2006-05-20,83
2006-05-21 - 2006-05-27,82
2006-05-28 - 2006-06-03,78
2006-06-04 - 2006-06-10,80
2006-06-11 - 2006-06-17,79
2006-06-18 - 2006-06-24,79
2006-06-25 - 2006-07-01,77
2006-07-02 - 2006-07-08,74
2006-07-09 - 2006-07-15,77
2006-07-16 - 2006-07-22,79
2006-07-23 - 2006-07-29,78
2006-07-30 - 2006-08-05,80
2006-08-06 - 2006-08-12,79
2006-08-13 - 2006-08-19,81
2006-08-20 - 2006-08-26,79
2006-08-27 - 2006-09-02,77
2006-09-03 - 2006-09-09,91
2006-09-10 - 2006-09-16,82
2006-09-17 - 2006-09-23,84
2006-09-24 - 2006-09-30,82
2006-10-01 - 2006-10-07,82
2006-10-08 - 2006-10-14,80
2006-10-15 - 2006-10-21,80
2006-10-22 - 2006-10-28,80
2006-10-29 - 2006-11-04,80
2006-11-05 - 2006-11-11,79
2006-11-12 - 2006-11-18,81
2006-11-19 - 2006-11-25,73
2006-11-26 - 2006-12-02,78
2006-12-03 - 2006-12-09,79
2006-12-10 - 2006-12-16,76
2006-12-17 - 2006-12-23,70
2006-12-24 - 2006-12-30,67
2006-12-31 - 2007-01-06,74
2007-01-07 - 2007-01-13,75
2007-01-14 - 2007-01-20,74
2007-01-21 - 2007-01-27,77
2007-01-28 - 2007-02-03,76
2007-02-04 - 2007-02-10,76
2007-02-11 - 2007-02-17,77
2007-02-18 - 2007-02-24,77
2007-02-25 - 2007-03-03,76
2007-03-04 - 2007-03-10,79
2007-03-11 - 2007-03-17,77
2007-03-18 - 2007-03-24,79
2007-03-25 - 2007-03-31,77
2007-04-01 - 2007-04-07,78
2007-04-08 - 2007-04-14,78
2007-04-15 - 2007-04-21,77
2007-04-22 - 2007-04-28,78
2007-04-29 - 2007-05-05,79
2007-05-06 - 2007-05-12,77
2007-05-13 - 2007-05-19,80
2007-05-20 - 2007-05-26,76
2007-05-27 - 2007-06-02,73
2007-06-03 - 2007-06-09,78
2007-06-10 - 2007-06-16,73
2007-06-17 - 2007-06-23,72
2007-06-24 - 2007-06-30,72
2007-07-01 - 2007-07-07,70
2007-07-08 - 2007-07-14,73
2007-07-15 - 2007-07-21,73
2007-07-22 - 2007-07-28,73
2007-07-29 - 2007-08-04,73
2007-08-05 - 2007-08-11,73
2007-08-12 - 2007-08-18,74
2007-08-19 - 2007-08-25,73
2007-08-26 - 2007-09-01,73
2007-09-02 - 2007-09-08,70
2007-09-09 - 2007-09-15,74
2007-09-16 - 2007-09-22,74
2007-09-23 - 2007-09-29,75
2007-09-30 - 2007-10-06,76
2007-10-07 - 2007-10-13,74
2007-10-14 - 2007-10-20,74
2007-10-21 - 2007-10-27,74
2007-10-28 - 2007-11-03,74
2007-11-04 - 2007-11-10,74
2007-11-11 - 2007-11-17,75
2007-11-18 - 2007-11-24,69
2007-11-25 - 2007-12-01,75
2007-12-02 - 2007-12-08,74
2007-12-09 - 2007-12-15,73
2007-12-16 - 2007-12-22,69
2007-12-23 - 2007-12-29,63
2007-12-30 - 2008-01-05,73
2008-01-06 - 2008-01-12,74
2008-01-13 - 2008-01-19,74
2008-01-20 - 2008-01-26,73
2008-01-27 - 2008-02-02,75
2008-02-03 - 2008-02-09,78
2008-02-10 - 2008-02-16,78
2008-02-17 - 2008-02-23,77
2008-02-24 - 2008-03-01,76
2008-03-02 - 2008-03-08,77
2008-03-09 - 2008-03-15,77
2008-03-16 - 2008-03-22,74
2008-03-23 - 2008-03-29,76
2008-03-30 - 2008-04-05,77
2008-04-06 - 2008-04-12,79
2008-04-13 - 2008-04-19,78
2008-04-20 - 2008-04-26,80
2008-04-27 - 2008-05-03,82
2008-05-04 - 2008-05-10,79
2008-05-11 - 2008-05-17,77
2008-05-18 - 2008-05-24,77
2008-05-25 - 2008-05-31,72
2008-06-01 - 2008-06-07,74
2008-06-08 - 2008-06-14,72
2008-06-15 - 2008-06-21,74
2008-06-22 - 2008-06-28,74
2008-06-29 - 2008-07-05,70
2008-07-06 - 2008-07-12,73
2008-07-13 - 2008-07-19,74
2008-07-20 - 2008-07-26,75
2008-07-27 - 2008-08-02,76
2008-08-03 - 2008-08-09,76
2008-08-10 - 2008-08-16,76
2008-08-17 - 2008-08-23,73
2008-08-24 - 2008-08-30,73
2008-08-31 - 2008-09-06,71
2008-09-07 - 2008-09-13,75
2008-09-14 - 2008-09-20,75
2008-09-21 - 2008-09-27,76
2008-09-28 - 2008-10-04,76
2008-10-05 - 2008-10-11,77
2008-10-12 - 2008-10-18,76
2008-10-19 - 2008-10-25,78
2008-10-26 - 2008-11-01,73
2008-11-02 - 2008-11-08,76
2008-11-09 - 2008-11-15,79
2008-11-16 - 2008-11-22,81
2008-11-23 - 2008-11-29,73
2008-11-30 - 2008-12-06,79
2008-12-07 - 2008-12-13,78
2008-12-14 - 2008-12-20,74
2008-12-21 - 2008-12-27,71
2008-12-28 - 2009-01-03,79
2009-01-04 - 2009-01-10,79
2009-01-11 - 2009-01-17,79
2009-01-18 - 2009-01-24,77
2009-01-25 - 2009-01-31,78
2009-02-01 - 2009-02-07,79
2009-02-08 - 2009-02-14,77
2009-02-15 - 2009-02-21,79
2009-02-22 - 2009-02-28,79
2009-03-01 - 2009-03-07,79
2009-03-08 - 2009-03-14,80
2009-03-15 - 2009-03-21,76
2009-03-22 - 2009-03-28,78
2009-03-29 - 2009-04-04,80
2009-04-05 - 2009-04-11,79
2009-04-12 - 2009-04-18,79
2009-04-19 - 2009-04-25,82
2009-04-26 - 2009-05-02,84
2009-05-03 - 2009-05-09,79
2009-05-10 - 2009-05-16,78
2009-05-17 - 2009-05-23,77
2009-05-24 - 2009-05-30,74
2009-05-31 - 2009-06-06,75
2009-06-07 - 2009-06-13,74
2009-06-14 - 2009-06-20,75
2009-06-21 - 2009-06-27,73
2009-06-28 - 2009-07-04,70
2009-07-05 - 2009-07-11,74
2009-07-12 - 2009-07-18,72
2009-07-19 - 2009-07-25,74
2009-07-26 - 2009-08-01,75
2009-08-02 - 2009-08-08,74
2009-08-09 - 2009-08-15,75
2009-08-16 - 2009-08-22,74
2009-08-23 - 2009-08-29,73
2009-08-30 - 2009-09-05,72
2009-09-06 - 2009-09-12,73
2009-09-13 - 2009-09-19,76
2009-09-20 - 2009-09-26,79
2009-09-27 - 2009-10-03,74
2009-10-04 - 2009-10-10,76
2009-10-11 - 2009-10-17,75
2009-10-18 - 2009-10-24,75
2009-10-25 - 2009-10-31,73
2009-11-01 - 2009-11-07,73
2009-11-08 - 2009-11-14,76
2009-11-15 - 2009-11-21,76
2009-11-22 - 2009-11-28,70
2009-11-29 - 2009-12-05,75
2009-12-06 - 2009-12-12,73
2009-12-13 - 2009-12-19,70
2009-12-20 - 2009-12-26,62
2009-12-27 - 2010-01-02,69
2010-01-03 - 2010-01-09,73
2010-01-10 - 2010-01-16,74
2010-01-17 - 2010-01-23,74
2010-01-24 - 2010-01-30,73
2010-01-31 - 2010-02-06,76
2010-02-07 - 2010-02-13,75
2010-02-14 - 2010-02-20,74
2010-02-21 - 2010-02-27,75
2010-02-28 - 2010-03-06,75
2010-03-07 - 2010-03-13,76
2010-03-14 - 2010-03-20,75
2010-03-21 - 2010-03-27,77
2010-03-28 - 2010-04-03,74
2010-04-04 - 2010-04-10,75
2010-04-11 - 2010-04-17,76
2010-04-18 - 2010-04-24,78
2010-04-25 - 2010-05-01,78
2010-05-02 - 2010-05-08,77
2010-05-09 - 2010-05-15,77
2010-05-16 - 2010-05-22,76
2010-05-23 - 2010-05-29,75
2010-05-30 - 2010-06-05,73
2010-06-06 - 2010-06-12,72
2010-06-13 - 2010-06-19,70
2010-06-20 - 2010-06-26,69
2010-06-27 - 2010-07-03,70
2010-07-04 - 2010-07-10,72
2010-07-11 - 2010-07-17,74
2010-07-18 - 2010-07-24,72
2010-07-25 - 2010-07-31,72
2010-08-01 - 2010-08-07,74
2010-08-08 - 2010-08-14,71
2010-08-15 - 2010-08-21,73
2010-08-22 - 2010-08-28,72
2010-08-29 - 2010-09-04,71
2010-09-05 - 2010-09-11,71
2010-09-12 - 2010-09-18,71
2010-09-19 - 2010-09-25,75
2010-09-26 - 2010-10-02,73
2010-10-03 - 2010-10-09,74
2010-10-10 - 2010-10-16,73
2010-10-17 - 2010-10-23,74
2010-10-24 - 2010-10-30,71
2010-10-31 - 2010-11-06,72
2010-11-07 - 2010-11-13,73
2010-11-14 - 2010-11-20,73
2010-11-21 - 2010-11-27,68
2010-11-28 - 2010-12-04,71
2010-12-05 - 2010-12-11,72
2010-12-12 - 2010-12-18,69
2010-12-19 - 2010-12-25,63
2010-12-26 - 2011-01-01,66
2011-01-02 - 2011-01-08,73
2011-01-09 - 2011-01-15,71
2011-01-16 - 2011-01-22,71
2011-01-23 - 2011-01-29,70
2011-01-30 - 2011-02-05,72
2011-02-06 - 2011-02-12,72
2011-02-13 - 2011-02-19,71
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,74
2011-03-06 - 2011-03-12,72
2011-03-13 - 2011-03-19,69
2011-03-20 - 2011-03-26,73
2011-03-27 - 2011-04-02,73
2011-04-03 - 2011-04-09,73
2011-04-10 - 2011-04-16,74
2011-04-17 - 2011-04-23,72
2011-04-24 - 2011-04-30,73
2011-05-01 - 2011-05-07,71
2011-05-08 - 2011-05-14,72
2011-05-15 - 2011-05-21,71
2011-05-22 - 2011-05-28,72
2011-05-29 - 2011-06-04,71
2011-06-05 - 2011-06-11,72
2011-06-12 - 2011-06-18,70
2011-06-19 - 2011-06-25,69
2011-06-26 - 2011-07-02,67
2011-07-03 - 2011-07-09,70
2011-07-10 - 2011-07-16,71
2011-07-17 - 2011-07-23,70
2011-07-24 - 2011-07-30,70
2011-07-31 - 2011-08-06,68
2011-08-07 - 2011-08-13,70
2011-08-14 - 2011-08-20,70
2011-08-21 - 2011-08-27,69
2011-08-28 - 2011-09-03,69
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,71
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,74
2011-10-02 - 2011-10-08,72
2011-10-09 - 2011-10-15,71
2011-10-16 - 2011-10-22,74
2011-10-23 - 2011-10-29,71
2011-10-30 - 2011-11-05,72
2011-11-06 - 2011-11-12,72
2011-11-13 - 2011-11-19,74
2011-11-20 - 2011-11-26,68
2011-11-27 - 2011-12-03,72
2011-12-04 - 2011-12-10,71
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,65
2011-12-25 - 2011-12-31,64
2012-01-01 - 2012-01-07,70
2012-01-08 - 2012-01-14,68
2012-01-15 - 2012-01-21,71
2012-01-22 - 2012-01-28,73
2012-01-29 - 2012-02-04,71
2012-02-05 - 2012-02-11,75
2012-02-12 - 2012-02-18,69
2012-02-19 - 2012-02-25,72
2012-02-26 - 2012-03-03,74
2012-03-04 - 2012-03-10,72
2012-03-11 - 2012-03-17,72
2012-03-18 - 2012-03-24,73
2012-03-25 - 2012-03-31,72
2012-04-01 - 2012-04-07,69
2012-04-08 - 2012-04-14,70
2012-04-15 - 2012-04-21,74
2012-04-22 - 2012-04-28,74
2012-04-29 - 2012-05-05,74
2012-05-06 - 2012-05-12,73
2012-05-13 - 2012-05-19,71
2012-05-20 - 2012-05-26,71
2012-05-27 - 2012-06-02,72
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,70
2012-06-17 - 2012-06-23,69
2012-06-24 - 2012-06-30,70
2012-07-01 - 2012-07-07,67
2012-07-08 - 2012-07-14,71
2012-07-15 - 2012-07-21,71
2012-07-22 - 2012-07-28,70
2012-07-29 - 2012-08-04,69
2012-08-05 - 2012-08-11,69
2012-08-12 - 2012-08-18,71
2012-08-19 - 2012-08-25,73
2012-08-26 - 2012-09-01,72
2012-09-02 - 2012-09-08,70
2012-09-09 - 2012-09-15,71
2012-09-16 - 2012-09-22,71
2012-09-23 - 2012-09-29,73
2012-09-30 - 2012-10-06,75
2012-10-07 - 2012-10-13,70
2012-10-14 - 2012-10-20,71
2012-10-21 - 2012-10-27,72
2012-10-28 - 2012-11-03,68
2012-11-04 - 2012-11-10,71
2012-11-11 - 2012-11-17,71
2012-11-18 - 2012-11-24,67
2012-11-25 - 2012-12-01,72
2012-12-02 - 2012-12-08,72
2012-12-09 - 2012-12-15,70
2012-12-16 - 2012-12-22,64
2012-12-23 - 2012-12-29,65
2012-12-30 - 2013-01-05,67
2013-01-06 - 2013-01-12,69
2013-01-13 - 2013-01-19,68
2013-01-20 - 2013-01-26,69
2013-01-27 - 2013-02-02,71
2013-02-03 - 2013-02-09,74
2013-02-10 - 2013-02-16,72
2013-02-17 - 2013-02-23,73
2013-02-24 - 2013-03-02,73
2013-03-03 - 2013-03-09,72
2013-03-10 - 2013-03-16,71
2013-03-17 - 2013-03-23,72
2013-03-24 - 2013-03-30,70
2013-03-31 - 2013-04-06,70
2013-04-07 - 2013-04-13,72
2013-04-14 - 2013-04-20,73
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,76
2013-05-05 - 2013-05-11,73
2013-05-12 - 2013-05-18,73
2013-05-19 - 2013-05-25,73
2013-05-26 - 2013-06-01,75
2013-06-02 - 2013-06-08,74
2013-06-09 - 2013-06-15,83
2013-06-16 - 2013-06-22,83
2013-06-23 - 2013-06-29,83
2013-06-30 - 2013-07-06,79
2013-07-07 - 2013-07-13,80
2013-07-14 - 2013-07-20,78
2013-07-21 - 2013-07-27,78
2013-07-28 - 2013-08-03,78
2013-08-04 - 2013-08-10,79
2013-08-11 - 2013-08-17,78
2013-08-18 - 2013-08-24,76
2013-08-25 - 2013-08-31,73
2013-09-01 - 2013-09-07,74
2013-09-08 - 2013-09-14,74
2013-09-15 - 2013-09-21,75
2013-09-22 - 2013-09-28,74
2013-09-29 - 2013-10-05,76
2013-10-06 - 2013-10-12,75
2013-10-13 - 2013-10-19,75
2013-10-20 - 2013-10-26,74
2013-10-27 - 2013-11-02,72
2013-11-03 - 2013-11-09,74
2013-11-10 - 2013-11-16,74
2013-11-17 - 2013-11-23,75
2013-11-24 - 2013-11-30,70
2013-12-01 - 2013-12-07,75
2013-12-08 - 2013-12-14,73
2013-12-15 - 2013-12-21,73
2013-12-22 - 2013-12-28,72
2013-12-29 - 2014-01-04,74
2014-01-05 - 2014-01-11,72
2014-01-12 - 2014-01-18,75
2014-01-19 - 2014-01-25,73
2014-01-26 - 2014-02-01,77
2014-02-02 - 2014-02-08,75
2014-02-09 - 2014-02-15,73
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,75
2014-03-02 - 2014-03-08,75
2014-03-09 - 2014-03-15,77
2014-03-16 - 2014-03-22,74
2014-03-23 - 2014-03-29,76
2014-03-30 - 2014-04-05,76
2014-04-06 - 2014-04-12,76
2014-04-13 - 2014-04-19,76
2014-04-20 - 2014-04-26,77
2014-04-27 - 2014-05-03,78
2014-05-04 - 2014-05-10,76
2014-05-11 - 2014-05-17,76
2014-05-18 - 2014-05-24,75
2014-05-25 - 2014-05-31,74
2014-06-01 - 2014-06-07,76
2014-06-08 - 2014-06-14,74
2014-06-15 - 2014-06-21,73
2014-06-22 - 2014-06-28,73
2014-06-29 - 2014-07-05,69
2014-07-06 - 2014-07-12,71
2014-07-13 - 2014-07-19,71
2014-07-20 - 2014-07-26,73
2014-07-27 - 2014-08-02,73
2014-08-03 - 2014-08-09,75
2014-08-10 - 2014-08-16,73
2014-08-17 - 2014-08-23,74
2014-08-24 - 2014-08-30,73
2014-08-31 - 2014-09-06,72
2014-09-07 - 2014-09-13,74
2014-09-14 - 2014-09-20,76
2014-09-21 - 2014-09-27,75
2014-09-28 - 2014-10-04,78
2014-10-05 - 2014-10-11,76
2014-10-12 - 2014-10-18,75
2014-10-19 - 2014-10-25,73
2014-10-26 - 2014-11-01,73
2014-11-02 - 2014-11-08,77
2014-11-09 - 2014-11-15,76
2014-11-16 - 2014-11-22,75
2014-11-23 - 2014-11-29,73
2014-11-30 - 2014-12-06,76
2014-12-07 - 2014-12-13,77
2014-12-14 - 2014-12-20,73
2014-12-21 - 2014-12-27,71
2014-12-28 - 2015-01-03,72
2015-01-04 - 2015-01-10,71
2015-01-11 - 2015-01-17,74
2015-01-18 - 2015-01-24,73
2015-01-25 - 2015-01-31,76
2015-02-01 - 2015-02-07,77
2015-02-08 - 2015-02-14,79
2015-02-15 - 2015-02-21,79
2015-02-22 - 2015-02-28,79
2015-03-01 - 2015-03-07,80
2015-03-08 - 2015-03-14,80
2015-03-15 - 2015-03-21,77
2015-03-22 - 2015-03-28,77
2015-03-29 - 2015-04-04,78
2015-04-05 - 2015-04-11,80
2015-04-12 - 2015-04-18,80
2015-04-19 - 2015-04-25,81
2015-04-26 - 2015-05-02,82
2015-05-03 - 2015-05-09,78
2015-05-10 - 2015-05-16,80
2015-05-17 - 2015-05-23,80
2015-05-24 - 2015-05-30,79
2015-05-31 - 2015-06-06,81
2015-06-07 - 2015-06-13,77
2015-06-14 - 2015-06-20,80
2015-06-21 - 2015-06-27,75
2015-06-28 - 2015-07-04,75
2015-07-05 - 2015-07-11,76
2015-07-12 - 2015-07-18,77
